title_theme,abstract_theme,similarity_score
crisis | pandemic | covid,crisis | pandemic | covid,1.0
investment | security investment | security,mobile | phone | mobile phone,0.0
digital | digital technology | divide,digital | digital technology | divide,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
privacy | concern | protection,privacy | concern | protection,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
privacy | concern | protection,adoption | institutional | pressure,0.0
feature | image | classification,feature | image | classification,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
collaboration | process | event log,design | information | exchange,0.0
patient | organ | cancer,patient | organ | cancer,1.0
information | modeling | approach,social | social medium | sn,0.0
protein | gene | pattern,feature | image | classification,0.0
sustainability | green | smes,sustainability | green | smes,1.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
platform | metaverse | content,platform | metaverse | content,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
feature | image | classification,feature | image | classification,1.0
risk | risk assessment | injury,financial | financial distress | distress,0.0
game | analytics | online game,game | analytics | online game,1.0
feature | image | classification,feature | image | classification,1.0
social | social medium | sn,social | social medium | sn,1.0
learning | student | learner,learning | student | learner,1.0
news | fake news | fake,news | fake news | fake,1.0
outsourcing | vendor | success,outsourcing | vendor | success,1.0
graph | bias | property,event | log | event processing,0.0
review | product | online review,cultural value | value | metaverses,0.0
team | audit | internal,team | audit | internal,1.0
service | web service | web,user | caching | service,0.053
user | caching | service,service | web service | web,0.053
performance | fund | task performance,performance | fund | task performance,1.0
customer | chatbot | loyalty,service | customer | service quality,0.111
rdf | reporting | graph,data | quality | data quality,0.0
network | peer | social network,consumer | commerce | purchase,0.0
supply | supply chain | chain,supply | supply chain | chain,1.0
health | healthcare | care,health | healthcare | care,1.0
cultural value | value | metaverses,cultural value | value | metaverses,1.0
review | product | online review,government | citizen | public,0.0
capability | firm | bda,capability | firm | bda,1.0
ict | diffusion | country,ict | diffusion | country,1.0
project | project management | offshore,project | project management | offshore,1.0
model | test | test case,detection | malware | attack,0.0
news | fake news | fake,news | fake news | fake,1.0
workflow | management | generator,protein | gene | pattern,0.0
agent | multi agent | evacuation,design | information | exchange,0.053
learning | student | learner,adoption | institutional | pressure,0.0
team | audit | internal,team | audit | internal,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
ethical | human | generative,ethical | human | generative,1.0
ethical | human | generative,ethical | human | generative,1.0
health | healthcare | care,health | healthcare | care,1.0
learning | student | learner,financial | financial distress | distress,0.053
game | analytics | online game,learning | student | learner,0.0
data | quality | data quality,data | quality | data quality,1.0
review | product | online review,review | product | online review,1.0
capability | firm | bda,capability | firm | bda,1.0
authentication | security | protocol,authentication | security | protocol,1.0
capability | firm | bda,capability | firm | bda,1.0
decision | decision making | making,patient | organ | cancer,0.053
sustainability | green | smes,sustainability | green | smes,1.0
news | fake news | fake,news | fake news | fake,1.0
health | healthcare | care,health | healthcare | care,1.0
decision | decision making | making,data | quality | data quality,0.0
iot | thing | internet thing,service | customer | service quality,0.0
privacy | concern | protection,privacy | concern | protection,1.0
ethical | human | generative,ethical | human | generative,1.0
network | peer | social network,network | peer | social network,1.0
authentication | security | protocol,authentication | security | protocol,1.0
feature | image | classification,feature | image | classification,1.0
ict | diffusion | country,ict | diffusion | country,1.0
review | product | online review,ethical | human | generative,0.0
ethical | human | generative,ethical | human | generative,1.0
virtual | satisfaction | turnover,virtual | satisfaction | turnover,1.0
enterprise | architecture | enterprise architecture,collaboration | process | event log,0.053
sustainability | green | smes,sustainability | green | smes,1.0
smart | home | smart home,smart | home | smart home,1.0
payment | mobile payment | mobile,digital | digital technology | divide,0.0
learning | student | learner,patient | organ | cancer,0.0
news | fake news | fake,news | fake news | fake,1.0
ethical | human | generative,ethical | human | generative,1.0
smart | home | smart home,smart | home | smart home,1.0
service | customer | service quality,customer | chatbot | loyalty,0.111
health | healthcare | care,health | healthcare | care,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
data | quality | data quality,sustainability | green | smes,0.0
internet | internet access | addiction,abstract | available | editor,0.0
feature | image | classification,feature | image | classification,1.0
innovation | firm | service innovation,innovation | firm | service innovation,1.0
supply | supply chain | chain,digital | digital technology | divide,0.0
platform | metaverse | content,platform | metaverse | content,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
review | product | online review,review | product | online review,1.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
social | social medium | sn,social | social medium | sn,1.0
privacy | concern | protection,iot | thing | internet thing,0.0
governance | data governance | participation,governance | data governance | participation,1.0
health | healthcare | care,patient | organ | cancer,0.053
investment | security investment | security,investment | security investment | security,1.0
crisis | pandemic | covid,crisis | pandemic | covid,1.0
reality | extended reality | task,reality | extended reality | task,1.0
supply | supply chain | chain,industry | technology | industry technology,0.0
project | project management | offshore,project | project management | offshore,1.0
smart | home | smart home,smart | home | smart home,1.0
privacy | concern | protection,privacy | concern | protection,1.0
supply | supply chain | chain,capability | firm | bda,0.0
learning | student | learner,domain | text | method,0.0
supply | supply chain | chain,supply | supply chain | chain,1.0
cloud | cloud computing | computing,abstract | available | editor,0.0
data | quality | data quality,supply | supply chain | chain,0.0
capability | firm | bda,capability | firm | bda,1.0
social | social medium | sn,social | social medium | sn,1.0
protein | gene | pattern,privacy | concern | protection,0.0
health | healthcare | care,health | healthcare | care,1.0
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
authentication | security | protocol,authentication | security | protocol,1.0
digital | digital technology | divide,capability | firm | bda,0.0
team | audit | internal,team | audit | internal,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
sustainability | green | smes,sustainability | green | smes,1.0
customer | chatbot | loyalty,review | product | online review,0.0
research | citation | journal,research | citation | journal,1.0
compliance | checking | process,compliance | checking | process,1.0
investment | security investment | security,investment | security investment | security,1.0
review | product | online review,social | social medium | sn,0.0
detection | malware | attack,network | peer | social network,0.0
robot | hri | exploration,robot | hri | exploration,1.0
community | group | member,team | audit | internal,0.0
learning | student | learner,user | caching | service,0.0
sentiment | twitter | sentiment analysis,sentiment | twitter | sentiment analysis,1.0
problem | tcp | constraint,problem | tcp | constraint,1.0
graph | bias | property,graph | bias | property,1.0
market | rumor | stock,market | rumor | stock,1.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
software | software development | component,cloud | cloud computing | computing,0.0
design | information | exchange,design | information | exchange,1.0
mobile | phone | mobile phone,investment | security investment | security,0.0
energy | user | ubiquitous,use | acceptance | utaut,0.053
patient | organ | cancer,patient | organ | cancer,1.0
iot | thing | internet thing,iot | thing | internet thing,1.0
news | fake news | fake,news | fake news | fake,1.0
ethical | human | generative,ethical | human | generative,1.0
robot | hri | exploration,robot | hri | exploration,1.0
detection | malware | attack,detection | malware | attack,1.0
iot | thing | internet thing,iot | thing | internet thing,1.0
smart | home | smart home,adoption | institutional | pressure,0.0
query | xml | document,query | xml | document,1.0
social | social medium | sn,video | topic | collaborative tagging,0.0
health | healthcare | care,health | healthcare | care,1.0
health | healthcare | care,health | healthcare | care,1.0
design | information | exchange,design | information | exchange,1.0
social | social medium | sn,crisis | pandemic | covid,0.0
supply | supply chain | chain,ethical | human | generative,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
news | fake news | fake,news | fake news | fake,1.0
adoption | institutional | pressure,adoption | institutional | pressure,1.0
innovation | firm | service innovation,innovation | firm | service innovation,1.0
erp | enterprise resource | resource planning,erp | enterprise resource | resource planning,1.0
sustainability | green | smes,sustainability | green | smes,1.0
social | social medium | sn,social | social medium | sn,1.0
domain | text | method,domain | text | method,1.0
platform | metaverse | content,feature | image | classification,0.0
supply | supply chain | chain,industry | technology | industry technology,0.0
review | product | online review,game | analytics | online game,0.053
crisis | pandemic | covid,recommender | content | recommendation,0.053
health | healthcare | care,health | healthcare | care,1.0
learning | student | learner,digital | digital technology | divide,0.0
blockchain | token | blockchain technology,smart | home | smart home,0.0
review | product | online review,review | product | online review,1.0
enterprise | architecture | enterprise architecture,enterprise | architecture | enterprise architecture,1.0
market | rumor | stock,market | rumor | stock,1.0
smart | home | smart home,smart | home | smart home,1.0
investment | security investment | security,investment | security investment | security,1.0
detection | malware | attack,detection | malware | attack,1.0
domain | text | method,domain | text | method,1.0
review | product | online review,team | audit | internal,0.0
