ID,type,keywords,mapped_category,mapping_status,relevance
0,topic,"standard, business, group, consortium, effectiveness, study, social, finding, network, developing",Unknown,NOVEL,1
1,topic,"enterprise, organization, business, ea, erp, management, paper, architecture, based, process",Unknown,NOVEL,34
2,topic,"service, customer, value, quality, study, experience, springer, model, robot, business",Unknown,NOVEL,13
3,topic,"firm, attack, cyber, security, investment, business, medium, stock, study, platform",Unknown,NOVEL,8
4,topic,"risk, cyber, method, assessment, vulnerability, information, present, modeling, module, paper",Unknown,NOVEL,3
5,topic,"market, model, software, product, business, line, trading, price, springer, study",Unknown,NOVEL,8
6,topic,"story, news, share, user, false, fake, believed, sharing, likely, effect",Unknown,NOVEL,1
7,topic,"smart, city, technology, value, barrier, accommodation, study, device, development, literature",Unknown,NOVEL,5
8,topic,"research, information, literature, technology, future, science, ai, issue, study, development",Unknown,NOVEL,18
9,topic,"component, software, oriented, problem, based, element, approach, identified, object, model",Unknown,NOVEL,1
10,topic,"model, based, data, springer, proposed, business, medium, approach, science, method",Unknown,NOVEL,103
11,topic,"software, user, vendor, trust, spyware, application, protection, perception, operation, privacy",Unknown,NOVEL,1
12,topic,"business, service, process, cloud, code, source, approach, problem, knowledge, component",Unknown,NOVEL,3
13,topic,"model, detection, attack, malware, adversarial, android, learning, using, policy, fooling",Unknown,NOVEL,2
14,topic,"social, disaster, medium, role, using, consequence, action, management, structure, official",Unknown,NOVEL,1
15,topic,"security, behavioral, insider, complexity, role, information, workplace, protection, ability, resource",Unknown,NOVEL,1
16,topic,"user, social, information, medium, based, springer, business, platform, online, service",Unknown,NOVEL,27
17,topic,"student, learning, group, medium, online, presence, business, study, instructor, using",Unknown,NOVEL,6
18,topic,"agent, learning, multi, environment, based, evacuation, behavior, paper, crowdsourcing, spatial",Unknown,NOVEL,6
19,topic,"information, supply, chain, knowledge, leakage, sharing, flexibility, study, business, organization",Artificial Intelligence and Machine Learning,MAPPED,3
20,topic,"ai, study, intelligence, artificial, author, data, springer, technology, research, responsible",Artificial Intelligence and Machine Learning,MAPPED,37
21,topic,"mobile, payment, network, use, device, study, business, springer, user, service",Unknown,NOVEL,9
22,topic,"security, internet, iot, springer, data, business, service, medium, user, key",Unknown,NOVEL,23
23,topic,"data, open, use, value, capability, architecture, software, citizen, methodology, public",Unknown,NOVEL,4
24,topic,"service, web, business, model, process, approach, based, science, application, new",Unknown,NOVEL,36
25,topic,"user, consumer, study, online, social, springer, research, intention, medium, behavior",Unknown,NOVEL,42
26,topic,"customer, service, value, quality, satisfaction, study, related, china, industry, relationship",Unknown,NOVEL,1
27,topic,"application, rfid, flexrfid, mobile, business, state, modeling, development, based, information",Unknown,NOVEL,2
28,topic,"smart, object, home, query, paper, technology, based, springer, service, business",Unknown,NOVEL,32
29,topic,"review, online, product, springer, customer, sentiment, decision, md, information, rating",Unknown,NOVEL,10
30,topic,"business, process, constraint, management, collaborative, paper, bpm, activity, method, based",Artificial Intelligence and Machine Learning,MAPPED,5
31,topic,"use, mi, intensity, mobile, self, internet, variable, captured, access, acceptance",Unknown,NOVEL,1
32,topic,"data, quality, cloud, integration, model, springer, web, process, warehouse, training",Unknown,NOVEL,6
33,topic,"process, compliance, constraint, business, semantic, method, state, non, error, level",Artificial Intelligence and Machine Learning,MAPPED,2
34,topic,"decision, group, emergency, consensus, making, er, response, data, methodology, new",Unknown,NOVEL,1
